#	type	pattern	pilot	lemma	freq
	T	N N	1D Convolution	1d convolution	
	T	N N	1D convolutional	1d convolutional	
9	T	A N	acoustic model	acoustic model	72
497	T	A N N	acoustic model training	acoustic model training	5
2346	T	A	acoustic-phonotactic	acoustic-phonotactic	1
478	T	N N	Adam optimization	adam optimization	5
225	T	N N	Adam optimizer	adam optimizer	9
676	T	A A N	adaptive cepstral analysis	adaptive cepstral analysis	4
279	T	N N	adversarial loss	adversarial loss	8
334	T	N N N	adversarial speaker classifier	adversarial speaker classifier	7
	T	A N N	artificial human speech	artificial human speech	
1345	T	N	ASR	asr	
438	T	N N	ASR performance	asr performance	5
82	T	N N	attention alignments	attention alignment	19
121	T	N N	attention block	attention block	14
575	T	N N	attention distillation	attention distillation	4
617	T	N N	attention distributions	attention distribution	4
180	T	N N	attention errors	attention error	11
601	T	N N	attention layer	attention layer	4
91	T	N N	attention mechanism	attention mechanism	18
466	T	N N	attention weights	attention weight	5
	T	A	attention-based	attention-based	
1661	T	A N N	attention-based sequence-to-sequence	attention-based sequence-to-sequence	2
	T	A	attention-enabled	attention-enabled	
223	T	A	audio	audio	189
374	T	A N	audio clip	audio clip	6
454	T	A N	audio generation	audio generation	5
270	T	A N	audio samples	audio sample	8
	T	N A N	audio sampling rate	audio sampling rate	
428	T	A N N	audio synthesis	audio synthesis	11
229	T	N N	audiobook data	audiobook datum	9
231	T	A N	automatic speech	automatic speech	9
2015	T	N N	autoregressive architecture	autoregressive architecture	2
441	T	N N	autoregressive counterpart	autoregressive counterpart	5
98	T	N N	autoregressive model	autoregressive model	18
1166	T	N A	autoregressive seq2seq	autoregressive seq2seq	2
	T	A N N	autoregressive sequence generation	autoregressive sequence generation	
734	T	N N	autoregressive text-to-spectrogram	autoregressive text-to-spectrogram	4
211	T	N N N	autoregressive Transformer TTS	autoregressive transformer tts	10
1095	T	N	autoregressively	autoregressively	5
465	T	A	back-end	back-end	5
	T	N N	backward decoder	backward decoder	
	T	N N	backward encoder	backward encoder	
112	T	N N	batch normalization	batch normalization	15
132	T	N N	batch size	batch size	14
	T	N	beginning-of-graphemes	beginning-of-graphemes	
	T	N N	benchmark language	benchmark language	
	T	A N	bi-directional LSTM	bi-directional lstm	
	T	N	Bi-GRU	bi-gru	
222	T	N	Bi-LSTM	bi-lstm	19
	T	N	Bi-LSTMs	bi-lstm	
566	T	A N	bidirectional decoder	bidirectional decoder	4
	T	A A A N	Bidirectional Gated Recurrent Unit	bidirectional gated recurrent unit	
1108	T	A N	bidirectional LSTM	bidirectional lstm	5
	T	A N	bidirectional multi-layer	bidirectional multi-layer	
556	T	N N	Blizzard Challenge	blizzard challenge	4
102	T	N	BLSTM	blstm	17
495	T	N	BLSTM-S	blstm-s	5
	T	N	Bottle-Neck	bottle-neck	
76	T	N	byte	byte	21
3310	T	N	CART	cart	1
117	T	N	CBHG	cbhg	15
426	T	A N	cepstral coefficients	cepstral coefficient	11
538	T	A N	cepstral features	cepstral feature	9
446	T	N	CERs	cers	5
	T	A N N	character-base token unit	Character-base token unit	
2721	T	N	ClariNet	clarinet	12
2620	T	A N	clustering-based unit-selection	clustering-based unit-selection	2
467	T	N	CMOS	cmos	5
196	T	N	CMUDict	cmudict	20
1114	T	N	CNN	cnn	
1112	T	A	CNN-based	cnn-base	
541	T	N	code-switching	code-switching	13
	T	A N	concatenative synthesis	concatenative synthesis	
	T	A N N	conditional random fields	conditional random field	
543	T	N N	conditioning network	conditioning network	4
	T	N A N	connectionist temporal classification	connectionist temporal classification	
1313	T	A A N	context-dependent acoustic	context-dependent acoustic	2
2427	T	A N	context-dependent HMMs	context-dependent hmms	2
1113	T	A N	context-independent phones	context-independent phone	9
294	T	N N	convolution block	convolution block	8
459	T	A N	convolutional encoder	convolutional encoder	5
174	T	A N	convolutional layers	convolutional layer	23
427	T	A N	convolutional network	convolutional network	11
1810	T	A N P N N	convolutional network with ReLU activation	convolutional network with relu activation	2
1113	T	A A A	convolutional neural network-based	convolutional neural network-based	
94	T	A A N	convolutional neural networks	convolutional neural network	18
	T	N	CPU	cpu	
	T	N	CRF	crf	
2615	T	N N	cross-language knowledge	cross-language knowledge	2
385	T	N N	cross-language transfer	cross-language transfer	6
300	T	N N	cross-language voice	cross-language voice	8
2243	T	A N	cross-lignual scenarios	cross-lignual scenario	2
144	T	A N	cross-lingual adaptation	cross-lingual adaptation	13
1164	T	A N	cross-lingual knowledge-sharing	cross-lingual knowledge-sharing	2
1164	V[m]	A N N	cross-lingual parameter sharing	cross-lingual parameter sharing	2
552	T	A N	cross-lingual transfer	cross-lingual transfer	4
626	T	A N	cross-lingual voice	cross-lingual voice	8
352	T	N	CSS10	css10	12
	T	N	CUDA	cuda	
2602	T	A	data-based	data-based	2
	T	N	DBLSTM	dblstm	
36	T	N N	decision tree	decision tree	35
2572	T	N	decision-tree	decision-tree	1
	T	A N	decod output	decod output	
	T	N	decoder	decoder	
715	T	N N	decoder Bi-LSTM	decoder bi-lstm	4
2598	T	A A N	deep bi-directional LSTM	deep bi-directional lstm	2
314	T	A N	deep learning	deep learning	7
298	T	A A N	deep neural networks	deep neural network	8
1312	T	A A N N	deep unidirectional GRU decoder	deep unidirectional gru decoder	2
7	T	A N	Deep Voice	deep voice	77
2510	T	N	DeepVoice	deepvoice	1
	T	N	dropout	dropout	
605	T	N C A N	Duration and Fundamental Frequency	duration and fundamental frequency	4
218	T	N N	duration predictor	duration predictor	20
	T	N	encoder	encoder	
	T	N N	encoder-attention-decoder	encoder-attention-decoder	
54	T	N	encoder-decoder	encoder-decoder	25
1414	T	N N	encoder-decoder structure	encoder-decoder structure	2
2421	T	N N	end-of-phonemes tag	end-of-phonemes tag	1
20	T	N	end-to-end	end-to-end	49
1786	T	N A N N	end-to-end generative TTS	end-to-end generative tts	2
1296	T	N A N N	end-to-end neural speech	end-to-end neural speech	2
555	T	N N N	end-to-end speech	end-to-end speech	4
500	T	N N N	end-to-end TTS	end-to-end tts	5
533	T	N	epochs	epoch	5
309	T	A N	expressive speech	expressive speech	7
56	T	N	FastSpeech	fastspeech	49
	T	N A	feature engineering	feature engineering	
	T	N N	feature representation	feature representation	
	T	N	feed-forward	feed-forward	
2611	T	A N	feed-forward structure	feed-forward structure	2
1103	T	N N	Feed-Forward Transformer	feed-forward transformer	5
	T	N N	Feed-Forward Transformer	Feed-Forward Transformer	
760	T	A A N	feedforward neural network	feedforward neural network	10
	T	N N	FFT Block	fft block	
344	T	N N	FFT blocks	fft block	7
	T	N N	finite-state automata	finite-state automata	
2769	T	N	FLOPs	flop	8
2369	T	A N	forward backward	forward backward	2
	T	N N	forward decoder	forward decoder	
	T	A N	forward layer	forward layer	
481	T	N N N	frequency prediction	frequency prediction	5
534	T	N	front-end	front-end	37
	T	N	FSTs	fsts	
1660	T	R A A N	fully parallel neural TTS	fully parallel neural tts	2
55	T	A N	fundamental frequency	fundamental frequency	25
