#	type	pattern	pilot	lemma
1	T	N	phoneme	phoneme
2	T	N	encoder	encoder
3	T	A N	neural network	neural network
3	V[s]	A A N	feedforward neural network	feedforward neural network
3	V[s]	A A N	recurrent neural network	recurrent neural network
3	V[s]	A A N	convolutional neural networks	convolutional neural network
3	V[s]	A A N	deep neural networks	deep neural network
3	V[s]	A A N	Artificial Neural Networks	artificial neural network
3	V[s]	N A N	Time-Delay Neural Network	time-delay neural network
3	V[s]	A A N	multiple neural networks	multiple neural network
4	T	N	Proc	proc
5	T	N	decoder	decoder
6	T	N	corpus	corpus
7	T	N	vocoder	vocoder
8	T	A N	Deep Voice	deep voice
8	V[s]	N A N	multi-speaker Deep Voice	multi-speaker deep voice
9	T	N	ICASSP	icassp
10	T	N	WaveNet	wavenet
11	T	N N	speech recognition	speech recognition
11	V[s]	A N N	automatic speech recognition	automatic speech recognition
11	V[s]	A N N	multilingual speech recognition	multilingual speech recognition
11	V[s]	A N N	monolingual speech recognition	monolingual speech recognition
11	V[s]	N N N	End-to-End Speech Recognition	end-to-end speech recognition
11	V[s]	A N N N	large vocabulary speech recognition	large vocabulary speech recognition
11	V[s]	A N N	conversational speech recognition	conversational speech recognition
11	V[s]+	N N N	speech recognition task	speech recognition task
11	V[s]	A N N	state-of-the-art speech recognition	state-of-the-art speech recognition
12	T	A N	acoustic model	acoustic model
12	V[s]	A A N	context-dependent acoustic models	context-dependent acoustic model
12	V[s]	A A N	multilingual acoustic models	multilingual acoustic model
12	V[s]	A A N	initial acoustic models	initial acoustic model
12	V[s]	A A N	separate acoustic model	separate acoustic model
13	T	N	vector	vector
14	T	N	dataset	dataset
15	T	N	convolution	convolution
16	T	N	algorithm	algorithm
17	T	N	LSTM	lstm
18	T	N	grapheme	grapheme
19	T	N	naturalness	naturalness
20	T	N N	unit selection	unit selection
20	V[s]	N N N	unit selection synthesis	unit selection synthesis
20	V[s]	N N N	Open-domain unit selection	open-domain unit selection
20	V[s]	N N N	unit selection technique	unit selection technique
21	T	A N	multilingual speech	multilingual speech
22	T	N	Conf	conf
23	T	N	ParaNet	paranet
24	T	N	spectrogram	spectrogram
25	T	N N	TTS systems	tts system
25	V[s]	A A N	parametric TTS system	parametric tts system
25	V[s]	A N N	neural TTS system	neural tts system
25	V[s]	N N N	end-to-end TTS systems	end-to-end tts system
25	V[s]	N N N	multi-speaker TTS system	multi-speaker tts system
25	V[s]	A A N N	parallel neural TTS system	parallel neural tts system
25	V[s]	A A N N	recent neural TTS systems	recent neural tts system
26	T	N N	training data	training datum
26	V[s]	N N N N	speaker encoder training data	speaker encoder training datum
26	V[s]	A N N N	low quality training data	low quality training datum
27	T	N	mapping	mapping
28	T	N N	speech synthesis	speech synthesis
28	V[im]	N N N N	speech synthe- sis	speech synthe - sis
28	V[s]	A N N	ric speech synthesis	ric speech synthesis
28	V[s]	N N N	LSP Speech Synthesis	lsp speech synthesis
28	V[s]	A N N	HMM-based speech synthesis	hmm-based speech synthesis
28	V[s]	N N N	end-to-end speech synthesis	end-to-end speech synthesis
28	V[s]	A A N N	statistical parametric speech synthesis	statistical parametric speech synthesis
28	V[s]+	N N N	speech synthesis system	speech synthesis system
28	V[s]	A N N	neural speech synthesis	neural speech synthesis
28	V[s]	A N N	multilingual speech synthesis	multilingual speech synthesis
28	V[s]	N N N	multi-speaker speech synthesis	multi-speaker speech synthesis
28	V[s]+	N N N	speech synthesis toolkit	speech synthesis toolkit
28	V[s]	A N N	expressive speech synthesis	expressive speech synthesis
28	V[s]	A N N	concatenative speech synthesis	concatenative speech synthesis
28	V[s]+	N N N	Speech Synthesis Workshop	speech synthesis workshop
28	V[s]	A N N	DNN-based speech synthesis	dnn-based speech synthesis
28	V[s]	A N N	high-fidelity speech synthesis	high-fidelity speech synthesis
28	V[s]	A A N N	neural network-based speech synthesis	neural network-based speech synthesis
28	V[s]	A N N	Trainable speech synthesis	trainable speech synthesis
28	V[s]	N N N	Single-Speaker Speech Synthesis	single-speaker speech synthesis
28	V[s]	A N N	controllable speech synthesis	controllable speech synthesis
28	V[s]	N N N	low-latency speech synthesis	low-latency speech synthesis
28	V[s]	A N N	high-quality speech synthesis	high-quality speech synthesis
28	V[s]	A N N	corpus-based speech synthesis	corpus-based speech synthesis
28	V[s]	A N N	statistical speech synthesis	statistical speech synthesis
29	T	N N	language models	language model
29	V[s]	A N N	multilingual language models	multilingual language model
29	V[s]	N N N	GlobalPhone Language Models	globalphone language model
29	V[s]	A N N	N-gram language models	n-gram language model
29	V[s]	N N N	language model transducers	language model transducer
29	V[s]	A N N	benchmark language models	benchmark language model
30	T	N N	Speech Signal	speech signal
30	V[s]	N N N	Speech Signal Process	speech signal process
30	V[s]	N N P N	speech signal of bandwidth	speech signal of bandwidth
31	T	N N	speaker embeddings	speaker embeddings
31	V[s]	A N N	trainable speaker embeddings	trainable speaker embeddings
31	V[s]	A N N	Site-Specific Speaker Embeddings	site-specific speaker embeddings
31	V[s]	A A N N	low-dimensional trainable speaker embeddings	low-dimensional trainable speaker embeddings
32	T	N N	phoneme duration	phoneme duration
32	V[s]	N C N P N	duration and distance of phoneme	duration and distance of phoneme
32	V[s]	N N N	phoneme duration prediction	phoneme duration prediction
32	V[s]	N N N	phoneme duration model	phoneme duration model
