#	type	pattern	pilot	lemma	freq
3	V[s]	N A N	Time-Delay Neural Network	time-delay neural network	2
3	V[s]	A A N	multiple neural networks	multiple neural network	2
11	V[s]	A N N	state-of-the-art speech recognition	state-of-the-art speech recognition	2
12	V[s]	A A N	context-dependent acoustic models	context-dependent acoustic model	2
12	V[s]	A A N	initial acoustic models	initial acoustic model	2
12	V[s]	A A N	separate acoustic model	separate acoustic model	2
18	V[s]	N N N	LSP Speech Synthesis	lsp speech synthesis	2
18	V[s]	A N N	ric speech synthesis	ric speech synthesis	2
18	V[s]+	N N N	speech synthesis toolkit	speech synthesis toolkit	2
18	V[s]	A A N N	neural network-based speech synthesis	neural network-based speech synthesis	2
18	V[s]	A N N	Trainable speech synthesis	trainable speech synthesis	2
18	V[s]	N N N	Single-Speaker Speech Synthesis	single-speaker speech synthesis	2
18	V[s]	A N N	controllable speech synthesis	controllable speech synthesis	2
18	V[s]	N N N	low-latency speech synthesis	low-latency speech synthesis	2
18	V[s]	A N N	corpus-based speech synthesis	corpus-based speech synthesis	2
18	V[s]	A N N	statistical speech synthesis	statistical speech synthesis	2
21	V[s]	N N N	Open-domain unit selection	open-domain unit selection	2
25	V[s]	A A N N	recent neural TTS systems	recent neural tts system	2
26	V[s]	N N N N	speaker encoder training data	speaker encoder training datum	2
26	V[s]	A N N N	low quality training data	low quality training datum	2
28	V[s]	N N N	language model transducers	language model transducer	2
28	V[s]	A N N	benchmark language models	benchmark language model	2
30	V[s]	A N N	Site-Specific Speaker Embeddings	site-specific speaker embeddings	2
30	V[s]	A A N N	low-dimensional trainable speaker embeddings	low-dimensional trainable speaker embeddings	2
31	V[s]	N C N P N	duration and distance of phoneme	duration and distance of phoneme	2
37	V[im]	N N N N	machine trans- lation	machine trans - lation	2
37	V[s]	A N N	Non-autoregressive machine translation	non-autoregressive machine translation	2
37	V[s]	A A N N	Non-autoregressive neural machine translation	non-autoregressive neural machine translation	2
37	V[s]+	N N N	machine translation output	machine translation output	2
38	V[s]	A N N	state-tying decision tree	state-tying decision tree	2
52	V[s]	A N N N	model-based speech synthesis system	model-based speech synthesis system	2
52	V[s]	A N N N	high-quality speech synthesis system	high-quality speech synthesis system	2
56	V[s]	N P N N	identity of the reference speaker	identity of reference speaker	2
56	V[s]	A N N	native speaker identity	native speaker identity	2
56	V[s]	N N N	speaker identity labels	speaker identity label	2
64	V[s]	A A N N	typical HMM-based ASR system	typical hmm-based asr system	2
66	V[s]	A N N	unified input representation	unified input representation	2
66	V[s]	A N N	phonemic input representation	phonemic input representation	2
66	V[s]	A N N	language-dependent input representations	language-dependent input representation	2
69	V[s]	A A N	time-dependent fundamental frequency	time-dependent fundamental frequency	2
73	V[s]	N N N	MLP features MRASTA	mlp feature mrasta	2
73	V[s]	A N N	monolingual MLP features	monolingual mlp feature	2
73	V[s]	A N N	stand-alone MLP feature	stand-alone mlp feature	2
76	V[s]	N N N	LibriSpeech Ground truth	librispeech ground truth	2
78	V[s]	A A N	WaveNet-based neural vocoder	wavenet-based neural vocoder	2
81	V[s]	A N N	multilingual text-to-speech systems	multilingual text-to-speech system	2
81	V[s]	A N N N	high quality text-to-speech systems	high quality text-to-speech system	2
81	V[s]	A N N	commercial text-to-speech systems	commercial text-to-speech system	2
86	V[s]	A N N	adversarially-trained speaker classifier	adversarially-trained speaker classifier	2
88	V[s]	A A N N	multilingual neural TTS model	multilingual neural tts model	2
88	V[s]	A N N	bilingual TTS model	bilingual tts model	2
93	V[s]	A N N	fully-connected output layer	fully-connected output layer	2
94	V[m]	A N	mel-scale spectrogram	mel-scale spectrogram	2
116	V[s]	N A N	autoregressive seq2seq model	autoregressive seq2seq model	2
116	V[s]	A N N	pretrained autoregressive model	pretrained autoregressive model	2
130	V[s]	N A N	feedforward hidden layers	feedforward hidden layer	2
130	V[s]	A A N	single hidden layer	single hidden layer	2
137	V[s]	N N N	Language Technology Workshop	language technology workshop	2
140	V[s]	A A N	Chinese native speakers	chinese native speaker	2
147	V[s]	N N N	speaker similarity MOS	speaker similarity mo	2
153	V[s]	A N P N	hidden state of every layer	hidden state of layer	2
154	V[s]	A N N	Simple4All Tundra Corpus	simple4all tundra corpus	2
164	V[s]+	N N N	speech synthesis networks	speech synthesis network	2
167	V[s]	N N N	end-to-end text-to-speech synthesis	end-to-end text-to-speech synthesis	2
167	V[s]	A N N	HMM-based text-to-speech synthesis	hmm-based text-to-speech synthesis	2
167	V[s]	A N N	MULTILINGUAL TEXT-TO-SPEECH SYNTHESIS	multilingual text-to-speech synthesis	2
169	V[s]	N N N	training speaker diversity	training speaker diversity	2
176	V[s]	N N N	input text sequence	input text sequence	2
177	V[s]	N A N	rating synthetic speech	rating synthetic speech	2
178	V[d]	A N	musical score	musical score	2
181	V[s]	A N N N	multilingual speech processing systems	multilingual speech processing system	2
183	V[s]	N P A N	Quality of Synthetic Speech	quality of synthetic speech	2
212	V[s]	A A N N	multilingual neural TTS model	multilingual neural tts model	2
212	V[s]	A C A N	monolingual and multilingual model	monolingual and multilingual model	2
214	V[s]	N N N	input text sequence	input text sequence	2
216	V[s]	A N N	linguistic feature vector	linguistic feature vector	2
