#	type	pattern	pilot	lemma
1	T	N	phoneme	phoneme
2	T	N	encoder	encoder
3	T	A N	neural network	neural network
3	V[s]	A A N	feedforward neural network	feedforward neural network
3	V[s]	A A N	convolutional neural networks	convolutional neural network
3	V[s]	A A N	recurrent neural network	recurrent neural network
3	V[s]	A A N	deep neural networks	deep neural network
3	V[s]	N A N	Time-Delay Neural Network	time-delay neural network
4	T	N	decoder	decoder
5	T	N	vocoder	vocoder
6	T	N	corpus	corpus
7	T	A N	Deep Voice	deep voice
7	V[s]	N A N	multi-speaker Deep Voice	multi-speaker deep voice
8	T	N	vector	vector
9	T	A N	acoustic model	acoustic model
9	V[s]	A A N	context-dependent acoustic models	context-dependent acoustic model
9	V[s]	A A N	multilingual acoustic models	multilingual acoustic model
9	V[s]	A A N	initial acoustic models	initial acoustic model
9	V[s]	A A N	separate acoustic model	separate acoustic model
10	T	N	dataset	dataset
11	T	N	WaveNet	wavenet
12	T	N	text-to-speech	text-to-speech
13	T	N	convolution	convolution
14	T	N	LSTM	lstm
15	T	N	algorithm	algorithm
16	T	N	naturalness	naturalness
17	T	N	ParaNet	paranet
18	T	N	graphemes	grapheme
19	T	N N	speech recognition	speech recognition
19	V[s]	A N N	multilingual speech recognition	multilingual speech recognition
19	V[s]	A N N	monolingual speech recognition	monolingual speech recognition
19	V[s]	A N N	automatic speech recognition	automatic speech recognition
20	T	N N	training data	training datum
20	V[s]	N N N N	speaker encoder training data	speaker encoder training datum
20	V[s]	A N N N	low quality training data	low quality training datum
21	T	N N	TTS systems	tts system
21	V[s]	A A N	parametric TTS system	parametric tts system
21	V[s]	A N N	neural TTS system	neural tts system
21	V[s]	N N N	end-to-end TTS systems	end-to-end tts system
21	V[s]	N N N	multi-speaker TTS system	multi-speaker tts system
21	V[s]	A A N N	parallel neural TTS system	parallel neural tts system
21	V[s]	A A N N	recent neural TTS systems	recent neural tts system
22	T	N	mapping	mapping
23	T	N	spectrogram	spectrogram
24	T	N N	language models	language model
24	V[s]	A N N	multilingual language models	multilingual language model
24	V[s]	A N N	N-gram language models	n-gram language model
24	V[s]	N N N	GlobalPhone Language Models	globalphone language model
24	V[s]	N N N	language model transducers	language model transducer
24	V[s]	A N N	benchmark language models	benchmark language model
25	T	N N	speech synthesis	speech synthesis
25	V[s]	A A N N	statistical parametric speech synthesis	statistical parametric speech synthesis
25	V[s]	A N N	multilingual speech synthesis	multilingual speech synthesis
25	V[s]	N N N	multi-speaker speech synthesis	multi-speaker speech synthesis
25	V[s]	N N N	end-to-end speech synthesis	end-to-end speech synthesis
25	V[s]	A N N	HMM-based speech synthesis	hmm-based speech synthesis
25	V[s]	A N N	expressive speech synthesis	expressive speech synthesis
25	V[s]	A A N N	neural network-based speech synthesis	neural network-based speech synthesis
25	V[s]	N N N	Single-Speaker Speech Synthesis	single-speaker speech synthesis
25	V[s]	N N N	speech synthesis toolkit	speech synthesis toolkit
26	T	N N	speaker embeddings	speaker embeddings
26	V[s]	A N N	trainable speaker embeddings	trainable speaker embeddings
26	V[s]	A N N	Site-Specific Speaker Embeddings	site-specific speaker embeddings
26	V[s]	A A N N	low-dimensional trainable speaker embeddings	low-dimensional trainable speaker embeddings
27	T	N N	phoneme duration	phoneme duration
27	V[s]	N C N P N	duration and distance of phoneme	duration and distance of phoneme
27	V[s]	N N N	phoneme duration prediction	phoneme duration prediction
27	V[s]	N N N	phoneme duration model	phoneme duration model
27	V[s]	N N N	phoneme duration sequence	phoneme duration sequence
28	T	N N	unit selection	unit selection
28	V[s]	N N N	unit selection synthesis	unit selection synthesis
28	V[s]	N N N	unit selection technique	unit selection technique
28	V[s]	N N N	unit selection voices	unit selection voice
29	T	N N	speaker encoder	speaker encoder
29	V[s]	N N N	speaker encoder network	speaker encoder network
30	T	N	raters	rater
31	T	N	classifier	classifier
32	T	N	transcriptions	transcription
33	T	N N	decision tree	decision tree
33	V[s]	N N N	decision tree marginalization	decision tree marginalization
33	V[s]	A N N	state-tying decision tree	state-tying decision tree
34	T	N	Transformer	transformer
35	T	N N	target language	target language
36	T	N	waveform	waveform
37	T	N	Tacotron	tacotron
38	T	N	prosody	prosody
39	T	N	VCTK	vctk
40	T	N N	speech data	speech datum
41	T	N	transducer	transducer
42	T	N	Ping	ping
43	T	N	LibriSpeech	librispeech
44	T	N N	speaker identity	speaker identity
44	V[s]	N P N N	identity of the reference speaker	identity of reference speaker
44	V[s]	A N N	native speaker identity	native speaker identity
44	V[s]	N N N	speaker identity labels	speaker identity label
45	T	N	FastSpeech	fastspeech
46	T	N	normalization	normalization
47	T	N	Tundra	tundra
48	T	A N	residual connections	residual connection
49	T	N N	ASR system	asr system
49	V[s]	A N N	HMM-based ASR system	hmm-based asr system
49	V[s]	A N N	multilingual ASR system	multilingual asr system
49	V[s]	A A N N	typical HMM-based ASR system	typical hmm-based asr system
50	T	N N	input representations	input representation
50	V[s]	A N N	unified input representation	unified input representation
50	V[s]	A N N	phonemic input representation	phonemic input representation
50	V[s]	N N N	text input representations	text input representation
50	V[s]	A N N	language-dependent input representations	language-dependent input representation
51	T	N N	phoneme sequence	phoneme sequence
51	V[s]	N N N	phoneme duration sequence	phoneme duration sequence
52	T	N	MLSP	mlsp
53	T	N	subset	subset
54	T	A	phonetic	phonetic
