#	type	pattern	pilot	lemma	freq
1	T	N	phoneme	phoneme	299
2	T	N	encoder	encoder	179
3	T	A N	neural network	neural network	131
3	V[s]	A A N	feedforward neural network	feedforward neural network	10
3	V[s]	A A N	convolutional neural networks	convolutional neural network	18
3	V[s]	A A N	recurrent neural network	recurrent neural network	9
3	V[s]	A A N	deep neural networks	deep neural network	8
3	V[s]	N A N	Time-Delay Neural Network	time-delay neural network	2
4	T	N	decoder	decoder	124
5	T	N	vocoder	vocoder	95
6	T	N	corpus	corpus	93
7	T	A N	Deep Voice	deep voice	86
7	V[s]	N A N	multi-speaker Deep Voice	multi-speaker deep voice	3
8	T	N	vector	vector	77
9	T	A N	acoustic model	acoustic model	72
9	V[s]	A A N	context-dependent acoustic models	context-dependent acoustic model	2
9	V[s]	A A N	multilingual acoustic models	multilingual acoustic model	4
9	V[s]	A A N	initial acoustic models	initial acoustic model	2
9	V[s]	A A N	separate acoustic model	separate acoustic model	2
10	T	N	dataset	dataset	70
11	T	N	WaveNet	wavenet	66
12	T	N	text-to-speech	text-to-speech	66
13	T	N	convolution	convolution	63
14	T	N	LSTM	lstm	57
15	T	N	algorithm	algorithm	56
16	T	N	naturalness	naturalness	56
17	T	N	ParaNet	paranet	52
18	T	N	graphemes	grapheme	51
19	T	N N	speech recognition	speech recognition	51
19	V[s]	A N N	multilingual speech recognition	multilingual speech recognition	5
19	V[s]	A N N	monolingual speech recognition	monolingual speech recognition	5
19	V[s]	A N N	automatic speech recognition	automatic speech recognition	9
20	T	N N	training data	training datum	50
20	V[s]	N N N N	speaker encoder training data	speaker encoder training datum	2
20	V[s]	A N N N	low quality training data	low quality training datum	2
21	T	N N	TTS systems	tts system	98
21	V[s]	A A N	parametric TTS system	parametric tts system	4
21	V[s]	A N N	neural TTS system	neural tts system	19
21	V[s]	N N N	end-to-end TTS systems	end-to-end tts system	3
21	V[s]	N N N	multi-speaker TTS system	multi-speaker tts system	3
21	V[s]	A A N N	parallel neural TTS system	parallel neural tts system	3
21	V[s]	A A N N	recent neural TTS systems	recent neural tts system	2
22	T	N	mapping	mapping	47
23	T	N	spectrogram	spectrogram	93
24	T	N N	language models	language model	44
24	V[s]	A N N	multilingual language models	multilingual language model	4
24	V[s]	A N N	N-gram language models	n-gram language model	4
24	V[s]	N N N	GlobalPhone Language Models	globalphone language model	4
24	V[s]	N N N	language model transducers	language model transducer	2
24	V[s]	A N N	benchmark language models	benchmark language model	2
25	T	N N	speech synthesis	speech synthesis	87
25	V[s]	A A N N	statistical parametric speech synthesis	statistical parametric speech synthesis	13
25	V[s]	A N N	multilingual speech synthesis	multilingual speech synthesis	6
25	V[s]	N N N	multi-speaker speech synthesis	multi-speaker speech synthesis	6
25	V[s]	N N N	end-to-end speech synthesis	end-to-end speech synthesis	4
25	V[s]	A N N	HMM-based speech synthesis	hmm-based speech synthesis	3
25	V[s]	A N N	expressive speech synthesis	expressive speech synthesis	4
25	V[s]	A A N N	neural network-based speech synthesis	neural network-based speech synthesis	2
25	V[s]	N N N	Single-Speaker Speech Synthesis	single-speaker speech synthesis	2
25	V[s]	N N N	speech synthesis toolkit	speech synthesis toolkit	2
26	T	N N	speaker embeddings	speaker embeddings	43
26	V[s]	A N N	trainable speaker embeddings	trainable speaker embeddings	5
26	V[s]	A N N	Site-Specific Speaker Embeddings	site-specific speaker embeddings	2
26	V[s]	A A N N	low-dimensional trainable speaker embeddings	low-dimensional trainable speaker embeddings	2
27	T	N N	phoneme duration	phoneme duration	43
27	V[s]	N C N P N	duration and distance of phoneme	duration and distance of phoneme	2
27	V[s]	N N N	phoneme duration prediction	phoneme duration prediction	6
27	V[s]	N N N	phoneme duration model	phoneme duration model	5
27	V[s]	N N N	phoneme duration sequence	phoneme duration sequence	3
28	T	N N	unit selection	unit selection	42
28	V[s]	N N N	unit selection synthesis	unit selection synthesis	8
28	V[s]	N N N	unit selection technique	unit selection technique	3
28	V[s]	N N N	unit selection voices	unit selection voice	2
29	T	N N	speaker encoder	speaker encoder	40
29	V[s]	N N N	speaker encoder network	speaker encoder network	4
30	T	N	raters	rater	40
